Author,Movie,Userscore
PatrickM.,ghost-rider,6
spadenx,hannibal-rising,7
KeithM.,bridge-to-terabithia,7
Spangle,big,7
MovieGuys,big,8
aadityamudhar,harry-potter-and-the-order-of-the-phoenix,7
JamesL.,matthew-barney-no-restraint,7
asylumspadez,hot-fuzz,7
RegOz,300,10
sinadoom,hot-fuzz,8
Spangle,the-painted-veil,8
spadenx,hot-fuzz,7
Spangle,hot-fuzz,8
Moviebuffreview,ratatouille,7
axelkoch,hot-fuzz,8
Spangle,ratatouille,8
Compi24,ratatouille,7
MovieManiac83,hot-fuzz,8
MovieGuys,ratatouille,10
aadityamudhar,hot-fuzz,8
joao1198pedro,ratatouille,7
axelkoch,casino-royale,9
Spangle,deja-vu,6
MovieGuys,casino-royale,10
MovieManiac83,ratatouille,9
Spangle,the-prestige,8
KeithM.,american-hardcore,7
EricR.,rocky-balboa,9
MovieGuys,night-at-the-museum,7
Spangle,the-departed,9
Spangle,dreamgirls,7
Spangle,the-queen,7
axelkoch,the-queen,6
asylumspadez,apocalypto,7
spadenx,apocalypto,6
Spangle,apocalypto,8
Compi24,apocalypto,8
aadityamudhar,apocalypto,8
JamesL.,the-prestige,9
Spangle,the-fountain,10
Spangle,half-nelson,8
sinadoom,blood-diamond,8
Spangle,blood-diamond,8
Compi24,blood-diamond,9
asylumspadez,rocky-balboa,8
PatrickM.,the-prestige,8
MarkG.,the-wicker-man,10
MovieGuys,blood-diamond,7
MovieGuys,rocky-balboa,8
aadityamudhar,rocky-balboa,7
Broyax,rocky-balboa,6
Moviebuffreview,superman-returns,7
Compi24,an-inconvenient-truth,7
Moviebuffreview,transformers,7
Spangle,marie-antoinette,8
Spangle,scoop,8
JohnnyStephens,the-departed,8
MovieGuys,the-prestige,8
Compi24,spider-man-3,6
Marick,the-departed,6
MovieGuys,spider-man-3,7
aaronpaul121,pans-labyrinth,9
MovieManiac83,the-prestige,6
MovieGuys,superman-returns,8
aaronpaul121,ice-age-the-meltdown,6
Compi24,transformers,6
Spangle,the-devil-wears-prada,8
MovieGuys,transformers,8
aadityamudhar,spider-man-3,6
MovieGuys,an-inconvenient-truth,8
aadityamudhar,ice-age-the-meltdown,6
MovieGuys,curious-george,7
Compi24,talladega-nights-the-ballad-of-ricky-bobby,8
Spangle,the-descent,8
aaronpaul121,over-the-hedge,7
RegOz,loverboy,7
Marick,goal!-the-dream-begins,7
MovieGuys,over-the-hedge,9
Spangle,a-prairie-home-companion,7
Compi24,click,6
MovieGuys,click,8
asylumspadez,grease,8
RegOz,grease,8
Marick,the-fast-and-the-furious-tokyo-drift,10
Spangle,jacobs-ladder,7
Compi24,jacobs-ladder,7
Spangle,white-nights,6
MovieGuys,akeelah-and-the-bee,7
Spangle,thank-you-for-smoking,8
axelkoch,thank-you-for-smoking,9
TheWalrus2000,thank-you-for-smoking,8
Spangle,find-me-guilty,7
asylumspadez,300,8
Moviebuffreview,300,7
JohnnyStephens,the-libertine,10
Compi24,300,6
asylumspadez,the-hills-have-eyes,8
Spangle,babel,8
Compi24,babel,8
MovieGuys,babel,9
Compi24,the-matador-2005,7
Broyax,300,8
Compi24,the-benchwarmers,6
MovieGuys,the-pink-panther,7
asylumspadez,casino-royale,9
MovieGuys,16-blocks,7
spadenx,munich,7
Spangle,kiss-kiss-bang-bang,8
MovieGuys,hoodwinked!,7
Compi24,kiss-kiss-bang-bang,10
Compi24,united-93,9
MovieGuys,united-93,10
asylumspadez,grandmas-boy,6
RegOz,derailed,7
MarkG.,everything-is-illuminated,9
Compi24,just-friends,8
Spangle,the-prize-winner-of-defiance-ohio,7
MovieGuys,white-king-red-rubber-black-death,8
MovieGuys,chicken-little,7
Spangle,capote,8
MovieGuys,capote,10
MovieGuys,zathura-a-space-adventure,6
Spangle,munich,7
gzayas91,howls-moving-castle,10
Broyax,oliver-twist,7
MovieGuys,the-legend-of-zorro,6
spadenx,four-brothers,8
Compi24,jarhead,8
MovieGuys,jarhead,9
TheWalrus2000,wedding-crashers,8
EricR.,the-exorcism-of-emily-rose,7
JamesL.,wedding-crashers,10
MovieGuys,flightplan,6
MovieManiac83,jarhead,8
Compi24,wedding-crashers,7
MovieGuys,madagascar,7
Broyax,sympathy-for-mr-vengeance,8
Compi24,cinderella-man,10
spadenx,deuce-bigalow-european-gigolo,8
MovieGuys,the-polar-express,7
RegOz,the-exorcism-of-emily-rose,8
MovieGuys,bad-news-bears,6
Spangle,grizzly-man,8
MovieGuys,wallace-gromit-the-curse-of-the-were-rabbit,7
MovieGuys,fantastic-four,6
Spangle,pans-labyrinth,9
Compi24,pans-labyrinth,8
aadityamudhar,madagascar,7
joseap84,the-chronicles-of-narnia-the-lion-the-witch-and-the-wardrobe,9
Moviebuffreview,batman-begins,10
RegOz,house-of-wax,7
Spangle,corpse-bride,8
Spangle,cinderella-man,8
MovieGuys,cinderella-man,7
gzayas91,star-wars-episode-iii---revenge-of-the-sith,10
asylumspadez,batman-begins,8
MovieGuys,star-wars-episode-iii---revenge-of-the-sith,8
Broyax,land-of-the-dead,6
MovieManiac83,the-chronicles-of-narnia-the-lion-the-witch-and-the-wardrobe,7
MovieGuys,the-amityville-horror,6
Spangle,ben-hur-1959,9
aadityamudhar,the-chronicles-of-narnia-the-lion-the-witch-and-the-wardrobe,8
Compi24,batman-begins,10
Spangle,kingdom-of-heaven,7
Marick,batman-forever,6
devo-nc,star-wars-episode-iii---revenge-of-the-sith,8
Compi24,toy-story,9
Broyax,batman-forever,6
MovieGuys,the-nutty-professor,6
MovieGuys,because-of-winn-dixie,6
MovieGuys,sin-city,9
Spangle,the-deer-hunter,9
MovieGuys,dantes-peak,6
Spangle,layer-cake,6
MovieGuys,the-adventures-of-sharkboy-and-lavagirl-3-d,6
Spangle,war-of-the-worlds,8
Compi24,war-of-the-worlds,8
asylumspadez,constantine,9
EricR.,kung-fu-hustle,9
asylumspadez,harry-potter-and-the-goblet-of-fire,7
JamesL.,oldboy,10
Broyax,downfall,8
Compi24,million-dollar-baby,8
Compi24,downfall,7
Spangle,constantine,8
spadenx,harry-potter-and-the-goblet-of-fire,8
spadenx,the-40-year-old-virgin,6
aaronpaul121,toy-story,10
Spangle,downfall,9
Spangle,the-40-year-old-virgin,7
Compi24,the-40-year-old-virgin,10
Spangle,oldboy,6
spadenx,the-devils-rejects,8
MovieGuys,charlie-and-the-chocolate-factory,6
Spangle,coach-carter,7
Spangle,hitch,7
MovieGuys,the-machinist,9
aadityamudhar,double-dare,7
joao1198pedro,toy-story,8
asylumspadez,the-godfather-part-ii,9
Moviebuffreview,the-godfather-part-ii,10
MovieGuys,beyond-the-sea-2004,7
RegOz,the-aviator,9
RexG.,the-godfather-part-ii,9
joseap84,the-godfather-part-ii,9
Spangle,the-aviator,8
RegOz,the-sea-inside,9
Spangle,the-machinist,7
Compi24,assault-on-precinct-13,6
TheWalrus2000,sin-city,10
MovieGuys,the-aviator,7
joao1198pedro,harry-potter-and-the-goblet-of-fire,7
RonD.,the-godfather-part-ii,6
Spangle,million-dollar-baby,8
JohnnyStephens,the-godfather-part-ii,10
MovieGuys,million-dollar-baby,9
LaMagiadeVirue,the-godfather-part-ii,10
MovieGuys,national-treasure,10
Marick,the-godfather-part-ii,10
Compi24,the-aviator,7
MovieManiac83,harry-potter-and-the-goblet-of-fire,8
EddieM.,the-godfather-part-ii,10
aadityamudhar,harry-potter-and-the-goblet-of-fire,8
MovieManiac83,toy-story,8
Spangle,star-wars-episode-iii---revenge-of-the-sith,7
aadityamudhar,sin-city,9
asylumspadez,pocahontas,10
gzayas91,pocahontas,10
aaronpaul121,the-godfather-part-ii,8
sinadoom,the-godfather-part-ii,8
MovieGuys,pocahontas,7
spadenx,the-godfather-part-ii,9
devo-nc,the-godfather-part-ii,8
Spangle,the-celebration,8
RegOz,the-godfather-part-ii,8
Spangle,the-life-aquatic-with-steve-zissou,9
Compi24,the-life-aquatic-with-steve-zissou,7
Spangle,charlie-and-the-chocolate-factory,8
Spangle,the-godfather-part-ii,10
axelkoch,the-godfather-part-ii,8
RegOz,bad-education,8
asylumspadez,meet-the-fockers,8
Compi24,the-godfather-part-ii,9
Broyax,house-of-flying-daggers,7
spadenx,meet-the-fockers,6
TheWalrus2000,the-godfather-part-ii,9
PatrickM.,hustle-flow,10
MovieGuys,the-godfather-part-ii,10
joao1198pedro,the-godfather-part-ii,10
MovieManiac83,the-godfather-part-ii,10
Spangle,hustle-flow,7
Compi24,apollo-13,10
sinadoom,batman-begins,8
DanteGodfather7,the-godfather-part-ii,9
Spangle,primer,9
RegOz,the-woodsman,10
Spangle,the-phantom-of-the-opera,8
aadityamudhar,the-godfather-part-ii,9
duckhost,the-godfather-part-ii,10
RegOz,red-lights,9
Spangle,apollo-13,8
spadenx,batman-begins,8
MovieManiac83,star-wars-episode-iii---revenge-of-the-sith,6
Spangle,finding-neverland,9
Compi24,finding-neverland,7
RegOz,alfie,7
aadityamudhar,star-wars-episode-iii---revenge-of-the-sith,7
asylumspadez,the-incredibles,9
axelkoch,batman-begins,6
devo-nc,oceans-twelve,8
Spangle,hoosiers,8
MovieGuys,lord-of-war,10
gzayas91,batman-begins,10
Spangle,closer,6
Compi24,oceans-twelve,6
MovieGuys,oceans-twelve,6
Spangle,red-eye,6
aaronpaul121,the-incredibles,9
Spangle,broken-flowers,8
Compi24,lord-of-war,7
MovieGuys,batman-begins,7
Compi24,i-heart-huckabees,6
Compi24,walk-the-line,10
Spangle,hotel-rwanda,9
Compi24,hotel-rwanda,8
joao1198pedro,batman-begins,7
MovieGuys,hotel-rwanda,10
MovieGuys,bean,7
MovieGuys,the-spongebob-squarepants-movie,7
RegOz,the-notebook,7
MovieGuys,saw,8
Compi24,the-incredibles,8
Compi24,october-sky,9
Marick,batman-begins,8
Spangle,the-weather-man,6
MovieGuys,the-incredibles,10
joao1198pedro,the-incredibles,7
Spangle,october-sky,8
Spangle,raging-bull,8
Broyax,lord-of-war,7
MovieGuys,raging-bull,7
Spangle,the-notebook,6
Marick,the-notebook,10
MovieManiac83,the-incredibles,8
Spangle,friday-night-lights,6
Compi24,friday-night-lights,8
asylumspadez,harold-kumar-go-to-white-castle,8
MovieManiac83,batman-begins,8
MovieGuys,harold-kumar-go-to-white-castle,6
aadityamudhar,batman-begins,8
Spangle,ray,8
RegOz,open-water,10
TheWalrus2000,garden-state,10
spadenx,anchorman-the-legend-of-ron-burgundy,6
Broyax,ghost-in-the-shell-2-innocence,10
Spangle,sideways,7
asylumspadez,saw,8
spadenx,saw,8
Spangle,the-constant-gardener,8
MarkG.,scent-of-a-woman,8
Spangle,scent-of-a-woman,8
spadenx,saw-ii,6
MovieGuys,scent-of-a-woman,8
spadenx,king-arthur,6
Compi24,scent-of-a-woman,9
MovieGuys,rocky-v,6
Spangle,the-village,6
Spangle,king-arthur,7
axelkoch,garden-state,8
Compi24,garden-state,7
Compi24,collateral,10
Marick,saw-ii,6
MovieGuys,garden-state,10
Marick,saw,9
Spangle,collateral,7
MovieGuys,collateral,8
MovieGuys,the-bourne-supremacy,8
Broyax,infernal-affairs,10
Spangle,walk-the-line,7
spadenx,hero,7
sinadoom,the-bourne-supremacy,7
MovieManiac83,saw,7
asylumspadez,dodgeball-a-true-underdog-story,8
Compi24,anchorman-the-legend-of-ron-burgundy,10
Spangle,i-robot,8
Compi24,i-robot,6
Compi24,serenity,6
TheWalrus2000,serenity,9
MovieGuys,i-robot,6
spadenx,the-bourne-supremacy,7
MovieGuys,anchorman-the-legend-of-ron-burgundy,8
Marick,i-robot,7
Spangle,the-bourne-supremacy,7
Spangle,the-terminal,7
Spangle,short-cuts,9
Compi24,dodgeball-a-true-underdog-story,8
Compi24,the-bourne-supremacy,9
RegOz,pride-prejudice,10
Spangle,hero,9
Compi24,elf,10
Compi24,hero,6
MovieGuys,philadelphia,8
Spangle,shaun-of-the-dead,7
Spangle,pride-prejudice,8
MovieGuys,elf,7
aadityamudhar,the-bourne-supremacy,9
RegOz,dawn-of-the-dead,9
sinadoom,garfield,7
MovieGuys,around-the-world-in-80-days,6
Spangle,born-on-the-fourth-of-july,8
Spangle,philadelphia,6
Compi24,philadelphia,9
MovieGuys,born-on-the-fourth-of-july,7
Moviebuffreview,spider-man-2,10
aaronpaul121,shrek-2,8
Spangle,ed-wood,8
Spangle,before-sunset,8
RegOz,ed-wood,8
asylumspadez,dawn-of-the-dead,7
RegOz,the-manchurian-candidate,7
Spangle,the-manchurian-candidate,7
asylumspadez,harry-potter-and-the-prisoner-of-azkaban,8
axelkoch,ed-wood,6
Compi24,the-manchurian-candidate,8
JohnnyStephens,ed-wood,10
aaronpaul121,mulan,9
MovieGuys,ed-wood,8
Spangle,brokeback-mountain,6
Spangle,the-squid-and-the-whale,8
MovieGuys,spider-man-2,10
MovieGuys,mulan,7
MovieGuys,shrek-2,6
devo-nc,king-kong,10
MovieManiac83,shaun-of-the-dead,8
Compi24,spider-man-2,9
aadityamudhar,shaun-of-the-dead,9
Spangle,harry-potter-and-the-prisoner-of-azkaban,7
Spangle,dawn-of-the-dead,7
Compi24,shrek-2,8
axelkoch,harry-potter-and-the-prisoner-of-azkaban,9
TheWalrus2000,dawn-of-the-dead,7
MovieGuys,home-on-the-range,7
devo-nc,star-wars-episode-vi---return-of-the-jedi,8
MovieManiac83,shrek-2,8
Spangle,dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb,8
Compi24,dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb,7
Compi24,super-size-me,8
devo-nc,star-wars-episode-v---the-empire-strikes-back,9
MovieGuys,super-size-me,8
joao1198pedro,harry-potter-and-the-prisoner-of-azkaban,8
spadenx,spider-man-2,6
MovieGuys,star-wars-episode-iv---a-new-hope,9
TheWalrus2000,the-day-after-tomorrow,6
aadityamudhar,spider-man-2,8
MovieGuys,the-day-after-tomorrow,7
MovieManiac83,harry-potter-and-the-prisoner-of-azkaban,7
Spangle,mean-girls,8
Spangle,videodrome,8
Spangle,after-hours,7
Spangle,suspicion,8
aadityamudhar,harry-potter-and-the-prisoner-of-azkaban,8
MovieGuys,the-girl-next-door-2004,6
Spangle,the-ladykillers,7
RegOz,the-passion-of-the-christ,9
Broyax,red-heat,6
Compi24,napoleon-dynamite,10
RegOz,memoirs-of-a-geisha,7
Compi24,the-punisher,7
MarkG.,the-passion-of-the-christ,10
RegOz,dogville,10
Spangle,dawn-of-the-dead-1979,8
asylumspadez,star-wars-episode-v---the-empire-strikes-back,9
Spangle,crimson-tide,7
Spangle,the-devils-advocate,8
Compi24,crimson-tide,10
aadityamudhar,star-wars-episode-iv---a-new-hope,9
Broyax,the-sugarland-express,7
Spangle,star-wars-episode-v---the-empire-strikes-back,8
Spangle,baadasssss!,8
Compi24,star-wars-episode-v---the-empire-strikes-back,8
Compi24,hellboy,8
RegOz,the-reckoning,7
Spangle,star-wars-episode-vi---return-of-the-jedi,9
asylumspadez,star-wars-episode-iv---a-new-hope,9
MovieGuys,star-wars-episode-v---the-empire-strikes-back,9
MovieGuys,the-dreamers,8
MovieGuys,star-wars-episode-vi---return-of-the-jedi,6
Spangle,hellboy,7
devo-nc,star-wars-episode-iv---a-new-hope,7
MovieManiac83,spider-man-2,8
MarkG.,kill-bill-vol-2,9
aadityamudhar,hellboy,8
asylumspadez,bad-santa,8
Spangle,cold-mountain,8
MovieGuys,bad-santa,7
spadenx,mystic-river,10
Broyax,resident-evil,6
sinadoom,kill-bill-vol-2,8
spadenx,kill-bill-vol-2,8
Schmit93,city-of-god,10
Compi24,the-butterfly-effect,7
aaronpaul121,the-passion-of-the-christ,7
Spangle,kill-bill-vol-2,7
Spangle,the-passion-of-the-christ,9
MovieManiac83,star-wars-episode-v---the-empire-strikes-back,9
gzayas91,the-passion-of-the-christ,10
TheWalrus2000,kill-bill-vol-2,6
Compi24,star-wars-episode-iv---a-new-hope,9
MovieManiac83,star-wars-episode-vi---return-of-the-jedi,7
MovieGuys,kill-bill-vol-2,7
asylumspadez,mystic-river,10
Compi24,50-first-dates,6
Spangle,the-company,7
Spangle,monster,7
MovieGuys,volcano,6
RegOz,mystic-river,9
RegOz,city-of-god,10
JamesL.,eternal-sunshine-of-the-spotless-mind,10
aadityamudhar,star-wars-episode-vi---return-of-the-jedi,8
Spangle,city-of-god,8
MovieGuys,city-of-god,10
aadityamudhar,star-wars-episode-v---the-empire-strikes-back,10
aadityamudhar,kill-bill-vol-2,8
Spangle,mystic-river,8
sinadoom,casino-royale,10
JohnnyStephens,secret-window,10
spadenx,casino-royale,8
Broyax,secret-window,6
Spangle,casino-royale,8
Spangle,a-history-of-violence,8
Spangle,independence-day,8
Compi24,a-history-of-violence,8
MovieGuys,independence-day,7
Broyax,the-butterfly-effect,8
MovieGuys,peter-pan,6
Compi24,casino-royale,10
Spangle,3-women,8
Spangle,eternal-sunshine-of-the-spotless-mind,9
Spangle,the-cooler,6
MovieManiac83,star-wars-episode-iv---a-new-hope,9
Compi24,love-actually,7
Compi24,independence-day,6
Compi24,elephant,6
Compi24,house-of-sand-and-fog,8
JohnnyStephens,the-lord-of-the-rings-the-return-of-the-king,10
Spangle,love-actually,7
Compi24,eternal-sunshine-of-the-spotless-mind,8
aadityamudhar,casino-royale,10
Spangle,house-of-sand-and-fog,7
sinadoom,kill-bill-vol-1,8
Compi24,miracle,8
Spangle,shattered-glass,8
Spangle,big-fish,8
MovieGuys,21-grams,10
Spangle,dirty-pretty-things,8
Spangle,master-and-commander-the-far-side-of-the-world,7
Compi24,big-fish,7
RegOz,the-last-samurai,7
RegOz,schindlers-list,10
Spangle,the-last-samurai,8
Spangle,21-grams,9
MovieGuys,the-last-samurai,9
spadenx,kill-bill-vol-1,6
MovieGuys,kill-bill-vol-1,8
asylumspadez,the-texas-chainsaw-massacre,7
Broyax,star-wars-episode-iv---a-new-hope,7
EricR.,the-matrix-revolutions,8
Spangle,the-school-of-rock,8
Spangle,matchstick-men,8
Compi24,dummy,9
Spangle,runaway-jury,6
Compi24,runaway-jury,7
Compi24,match-point,8
MovieGuys,runaway-jury,7
Spangle,kill-bill-vol-1,7
MovieGuys,the-negotiator,8
Spangle,midnight-in-the-garden-of-good-and-evil,7
Spangle,the-negotiator,7
spadenx,x-men-the-last-stand,8
Spangle,intolerable-cruelty,7
Spangle,contact,7
Compi24,the-school-of-rock,6
Compi24,open-range,7
TheWalrus2000,once-upon-a-time-in-mexico,7
Spangle,open-range,8
MovieGuys,the-school-of-rock,8
Compi24,x-men-the-last-stand,6
spadenx,thirteen,8
RegOz,the-departed,9
Broyax,gi-jane,7
joao1198pedro,x-men-the-last-stand,6
asylumspadez,cabin-fever,6
Compi24,johnny-english,7
aadityamudhar,kill-bill-vol-1,9
spadenx,the-lord-of-the-rings-the-return-of-the-king,9
MovieGuys,schindlers-list,9
Compi24,the-departed,8
TheWalrus2000,the-departed,9
MovieGuys,monster-house,7
asylumspadez,swat,8
joao1198pedro,the-lord-of-the-rings-the-return-of-the-king,10
MovieGuys,body-heat,9
MovieGuys,american-wedding,7
Spangle,body-heat,8
MovieGuys,the-departed,10
MovieGuys,kiss-the-girls,7
RegOz,seabiscuit,9
Compi24,seabiscuit,8
MovieManiac83,schindlers-list,10
aadityamudhar,schindlers-list,10
JohnnyStephens,the-great-gatsby-1974,10
Spangle,underworld,6
MovieManiac83,the-departed,9
aadityamudhar,the-departed,9
Spangle,lost-in-translation,7
Broyax,ghost-in-the-shell,9
Spangle,once-upon-a-time-in-the-west,9
Spangle,naked-lunch,9
aadityamudhar,lost-in-translation,8
asylumspadez,finding-nemo,9
Compi24,the-lord-of-the-rings-the-return-of-the-king,9
Compi24,terminator-3-rise-of-the-machines,6
MovieGuys,finding-nemo,10
aaronpaul121,cars,7
Spangle,inside-man,7
Spangle,the-lord-of-the-rings-the-return-of-the-king,10
MovieManiac83,finding-nemo,9
asylumspadez,pirates-of-the-caribbean-the-curse-of-the-black-pearl,8
Moviebuffreview,pirates-of-the-caribbean-the-curse-of-the-black-pearl,10
MovieGuys,the-lord-of-the-rings-the-return-of-the-king,8
Spangle,merry-christmas,8
aaronpaul121,finding-nemo,9
devo-nc,pirates-of-the-caribbean-the-curse-of-the-black-pearl,8
Compi24,the-matrix-reloaded,7
Compi24,raiders-of-the-lost-ark,9
Spangle,indiana-jones-and-the-temple-of-doom,7
aadityamudhar,the-matrix-reloaded,7
Compi24,mrs-doubtfire,8
MovieGuys,indiana-jones-and-the-temple-of-doom,8
Spangle,terminator-3-rise-of-the-machines,7
Spangle,mrs-doubtfire,7
MovieGuys,the-italian-job,9
MovieGuys,raiders-of-the-lost-ark,10
MovieGuys,mrs-doubtfire,8
MovieGuys,a-christmas-story,8
Spangle,gattaca,8
MovieManiac83,the-lord-of-the-rings-the-return-of-the-king,10
Spangle,pirates-of-the-caribbean-the-curse-of-the-black-pearl,8
Spangle,owning-mahowny,7
Compi24,pirates-of-the-caribbean-the-curse-of-the-black-pearl,7
Spangle,cronos,9
aadityamudhar,indiana-jones-and-the-temple-of-doom,8
aadityamudhar,the-lord-of-the-rings-the-return-of-the-king,10
sinadoom,the-italian-job,6
Compi24,a-christmas-story,10
JohnnyStephens,pirates-of-the-caribbean-the-curse-of-the-black-pearl,10
RegOz,28-days-later,7
Spangle,the-italian-job,7
Spangle,sleepless-in-seattle,7
spadenx,finding-nemo,10
MovieGuys,pirates-of-the-caribbean-the-curse-of-the-black-pearl,10
pabloaimar,the-matrix-reloaded,10
RegOz,gattaca,7
Spangle,28-days-later,8
joao1198pedro,pirates-of-the-caribbean-the-curse-of-the-black-pearl,6
Compi24,28-days-later,8
Compi24,gattaca,8
Spangle,mission-impossible-iii,7
JohnnyStephens,28-days-later,10
MovieGuys,28-days-later,7
spadenx,anger-management,7
aadityamudhar,raiders-of-the-lost-ark,10
Compi24,finding-nemo,10
Compi24,a-mighty-wind,6
MovieManiac83,28-days-later,8
Marick,the-matrix-reloaded,7
Compi24,anger-management,6
MovieGuys,mission-impossible-iii,7
Moviebuffreview,raiders-of-the-lost-ark,10
Broyax,confessions-of-a-dangerous-mind,8
asylumspadez,raiders-of-the-lost-ark,9
Spangle,he-got-game,6
spadenx,holes,8
asylumspadez,daddy-day-care,8
joao1198pedro,finding-nemo,7
aadityamudhar,mission-impossible-iii,7
MovieManiac83,pirates-of-the-caribbean-the-curse-of-the-black-pearl,8
Spangle,wag-the-dog,8
MovieGuys,holes,7
PatrickM.,v-for-vendetta,9
Marick,2-fast-2-furious,6
aadityamudhar,pirates-of-the-caribbean-the-curse-of-the-black-pearl,8
JohnnyStephens,the-da-vinci-code,10
Compi24,identity,6
MovieGuys,twelve-monkeys,10
Spangle,identity,8
spadenx,the-lord-of-the-rings-the-two-towers,8
TheWalrus2000,el-mariachi,8
TheWalrus2000,desperado,7
Spangle,twelve-monkeys,8
Spangle,serpico,7
aadityamudhar,desperado,6
MarkG.,serpico,10
Compi24,twelve-monkeys,6
MovieGuys,serpico,9
Spangle,raiders-of-the-lost-ark,7
Spangle,hard-eight,7
spadenx,the-hunted,10
spadenx,halloween-1978,8
asylumspadez,the-lion-king,9
Spangle,spider,8
Spangle,the-quiet-american,8
Spangle,chicago,7
MovieGuys,piglets-big-movie,7
Compi24,chicago,8
aaronpaul121,the-lion-king,9
spadenx,house-of-1000-corpses,10
Spangle,solaris,9
Compi24,solaris,7
MovieGuys,halloween-1978,9
MovieGuys,the-lion-king,10
TheWalrus2000,cry-the-beloved-country,6
MovieGuys,daredevil,6
asylumspadez,phone-booth,9
MovieGuys,phone-booth,8
Spangle,the-lord-of-the-rings-the-two-towers,9
Spangle,a-scanner-darkly,6
Compi24,the-lord-of-the-rings-the-two-towers,8
asylumspadez,gangs-of-new-york,9
RegOz,the-illusionist,6
Spangle,the-illusionist,8
MovieGuys,crank,8
Spangle,halloween-1978,8
JohnnyStephens,the-lord-of-the-rings-the-two-towers,9
spadenx,gangs-of-new-york,6
MovieGuys,the-lord-of-the-rings-the-two-towers,9
asylumspadez,crank,8
Spangle,gangs-of-new-york,6
joao1198pedro,the-lord-of-the-rings-the-two-towers,8
Marick,crank,6
MovieGuys,gangs-of-new-york,8
Compi24,invincible,7
Spangle,heaven,7
RegOz,meet-joe-black,9
MovieManiac83,the-lord-of-the-rings-the-two-towers,8
Broyax,death-and-the-maiden,8
Compi24,tears-of-the-sun,6
asylumspadez,old-school,7
aadityamudhar,the-lord-of-the-rings-the-two-towers,9
Compi24,old-school,7
Spangle,about-schmidt,8
asylumspadez,the-texas-chainsaw-massacre-the-beginning,8
Compi24,about-schmidt,8
TheWalrus2000,the-waterboy,7
Spangle,v-for-vendetta,9
Spangle,miami-vice,7
Compi24,bad-boys,6
Compi24,v-for-vendetta,8
MovieGuys,die-another-day,6
Spangle,bad-boys,7
MovieGuys,adaptation,10
MovieGuys,the-pianist,10
Spangle,kundun,7
MovieGuys,catch-me-if-you-can,9
Broyax,this-boys-life,6
Spangle,equilibrium,8
Spangle,25th-hour,8
MovieGuys,the-people-vs-larry-flynt,9
MovieGuys,25th-hour,6
Spangle,the-hunt-for-red-october,8
Spangle,liar-liar,7
Compi24,the-hunt-for-red-october,8
MovieGuys,the-hunt-for-red-october,7
Compi24,a-bugs-life,9
Schmit93,adaptation,10
spadenx,the-pianist,8
Spangle,the-pianist,9
Compi24,bloody-sunday,8
Spangle,adaptation,6
Compi24,the-pianist,9
MovieGuys,a-bugs-life,7
Spangle,velvet-goldmine,7
Compi24,little-big-man,7
Compi24,adaptation,8
joao1198pedro,a-bugs-life,8
Compi24,this-film-is-not-yet-rated,8
spadenx,terminator-2-judgment-day,6
Spangle,catch-me-if-you-can,8
MovieManiac83,a-bugs-life,7
Broyax,the-pianist,8
Spangle,king-kong,6
axelkoch,king-kong,6
aadityamudhar,catch-me-if-you-can,9
Compi24,king-kong,8
Spangle,terminator-2-judgment-day,8
Spangle,ran,10
MovieGuys,king-kong,7
Compi24,punch-drunk-love,7
spadenx,harry-potter-and-the-chamber-of-secrets,7
JohnnyStephens,red-dragon,8
asylumspadez,harry-potter-and-the-chamber-of-secrets,6
MovieManiac83,king-kong,7
Spangle,red-dragon,8
Spangle,far-from-heaven,8
Compi24,far-from-heaven,6
MovieManiac83,red-dragon,7
Broyax,cube,8
MovieManiac83,terminator-2-judgment-day,9
RegOz,maid-in-manhattan,7
Spangle,femme-fatale,8
asylumspadez,saw-iii,7
Moviebuffreview,8-mile,10
spadenx,saw-iii,7
Spangle,who-framed-roger-rabbit,8
Compi24,equilibrium,7
Broyax,below,7
MovieGuys,who-framed-roger-rabbit,8
MarkG.,facing-the-giants,7
Spangle,8-mile,8
Spangle,three-colors-blue,9
Compi24,8-mile,7
Spangle,army-of-darkness,7
Spangle,harry-potter-and-the-chamber-of-secrets,6
MovieManiac83,mousehunt,8
Compi24,the-da-vinci-code,6
MovieGuys,the-da-vinci-code,7
Spangle,road-to-perdition,8
Compi24,road-to-perdition,10
asylumspadez,lets-go-to-prison,10
spadenx,lets-go-to-prison,6
Spangle,hollywoodland,7
axelkoch,what-dreams-may-come,6
MovieManiac83,road-to-perdition,10
joao1198pedro,harry-potter-and-the-chamber-of-secrets,6
Spangle,one-hour-photo,7
Compi24,one-hour-photo,7
Spangle,the-ring,8
MovieManiac83,harry-potter-and-the-chamber-of-secrets,6
axelkoch,the-ring,7
aadityamudhar,harry-potter-and-the-chamber-of-secrets,6
Compi24,borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan,8
JamesL.,lady-in-the-water,10
Spangle,a-perfect-murder,6
Spangle,my-big-fat-greek-wedding,8
Compi24,flags-of-our-fathers,8
sinadoom,the-bourne-identity,10
Spangle,24-hour-party-people,8
devo-nc,pirates-of-the-caribbean-dead-mans-chest,9
MovieGuys,signs,6
spadenx,the-bourne-identity,8
Compi24,pretty-woman,8
